,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
1,USGS,02085070,2018-11-05 00:00,EST,59.5,P,1.87,P
2,USGS,02085070,2018-11-05 00:15,EST,59.5,P,1.87,P
3,USGS,02085070,2018-11-05 00:30,EST,60.8,P,1.88,P
4,USGS,02085070,2018-11-05 00:45,EST,60.8,P,1.88,P
5,USGS,02085070,2018-11-05 01:00,EST,60.8,P,1.88,P
6,USGS,02085070,2018-11-05 01:15,EST,63.3,P,1.90,P
7,USGS,02085070,2018-11-05 01:30,EST,60.8,P,1.88,P
8,USGS,02085070,2018-11-05 01:45,EST,60.8,P,1.88,P
9,USGS,02085070,2018-11-05 02:00,EST,62.0,P,1.89,P
10,USGS,02085070,2018-11-05 02:15,EST,63.3,P,1.90,P
11,USGS,02085070,2018-11-05 02:30,EST,63.3,P,1.90,P
12,USGS,02085070,2018-11-05 02:45,EST,70.1,P,1.95,P
13,USGS,02085070,2018-11-05 03:00,EST,68.7,P,1.94,P
14,USGS,02085070,2018-11-05 03:15,EST,70.1,P,1.95,P
15,USGS,02085070,2018-11-05 03:30,EST,77.5,P,2.00,P
16,USGS,02085070,2018-11-05 03:45,EST,82.2,P,2.03,P
17,USGS,02085070,2018-11-05 04:00,EST,94.2,P,2.10,P
18,USGS,02085070,2018-11-05 04:15,EST,103,P,2.15,P
19,USGS,02085070,2018-11-05 04:30,EST,116,P,2.24,P
20,USGS,02085070,2018-11-05 04:45,EST,141,P,2.38,P
21,USGS,02085070,2018-11-05 05:00,EST,182,P,2.58,P
22,USGS,02085070,2018-11-05 05:15,EST,269,P,2.90,P
23,USGS,02085070,2018-11-05 05:30,EST,375,P,3.20,P
24,USGS,02085070,2018-11-05 05:45,EST,501,P,3.54,P
25,USGS,02085070,2018-11-05 06:00,EST,613,P,3.84,P
26,USGS,02085070,2018-11-05 06:15,EST,711,P,4.08,P
27,USGS,02085070,2018-11-05 06:30,EST,800,P,4.30,P
28,USGS,02085070,2018-11-05 06:45,EST,878,P,4.51,P
29,USGS,02085070,2018-11-05 07:00,EST,947,P,4.68,P
30,USGS,02085070,2018-11-05 07:15,EST,980,P,4.76,P
31,USGS,02085070,2018-11-05 07:30,EST,984,P,4.77,P
32,USGS,02085070,2018-11-05 07:45,EST,997,P,4.80,P
33,USGS,02085070,2018-11-05 08:00,EST,968,P,4.73,P
34,USGS,02085070,2018-11-05 08:15,EST,935,P,4.65,P
35,USGS,02085070,2018-11-05 08:30,EST,890,P,4.54,P
36,USGS,02085070,2018-11-05 08:45,EST,852,P,4.44,P
37,USGS,02085070,2018-11-05 09:00,EST,822,P,4.36,P
